xup,zup,xlow,zlow
0,0,0,0
0.001838,0.009343,0.00364,-0.008797
0.009206,0.018764,0.012647,-0.016609
0.022051,0.028152,0.026892,-0.023408
0.040261,0.037346,0.046194,-0.029168
0.063657,0.046145,0.070318,-0.033869
0.091996,0.054325,0.098987,-0.037507
0.124973,0.061659,0.131882,-0.040097
0.162221,0.06793,0.168649,-0.041685
0.203313,0.072945,0.208902,-0.042343
0.247774,0.076553,0.252226,-0.042178
0.295082,0.07865,0.298182,-0.041321
0.34468,0.07918,0.346303,-0.039923
0.395987,0.078142,0.396102,-0.038146
0.448032,0.075745,0.447439,-0.035998
0.500587,0.072303,0.499413,-0.033414
0.553097,0.067946,0.551431,-0.030522
0.604979,0.062817,0.602933,-0.027439
0.655659,0.057071,0.653358,-0.024269
0.704581,0.050869,0.702155,-0.021095
0.751213,0.044375,0.748787,-0.017986
0.795047,0.03776,0.792738,-0.014999
0.835612,0.031195,0.833518,-0.012178
0.872474,0.024854,0.870671,-0.009563
0.90524,0.01891,0.903777,-0.007191
0.933564,0.013532,0.932461,-0.005099
0.95715,0.008878,0.956395,-0.003322
0.975752,0.005092,0.975305,-0.001896
0.989177,0.002295,0.988971,-0.000852
0.997287,0.000579,0.997235,-0.000214
1,0,1,0
