pos,cd,cl,cm
0,0.010209765,0.497273461,0.008125007
7.6923,0.020869655,0.501012171,0.005020815
15.3846,0.011443018,0.503352116,0.003399683
23.0769,0.010772173,0.496639543,0.002079854
30.7692,0.009785795,0.490856841,0.001259721
38.4615,0.009035548,0.485076111,0.000689319
46.1538,0.008463535,0.479378532,0.000312738
53.8462,0.008029824,0.473778896,7.88E-05
61.5385,0.007691776,0.468282179,-4.48E-05
69.2308,0.007430895,0.462870103,-8.86E-05
76.9231,0.00722528,0.457518502,-6.53E-05
84.6154,0.007063,0.452191155,8.87E-06
92.3077,0.006934419,0.446861731,0.000123005
100,0.006828592,0.441485693,0.000272428
107.692,0.00674248,0.436025014,0.000451921
115.385,0.006668593,0.430449901,0.000652307
123.077,0.006603634,0.424719201,0.000868916
130.769,0.006542271,0.418783609,0.001108954
138.462,0.006481268,0.412605125,0.001366437
146.154,0.006419828,0.406148594,0.001636681
153.846,0.006351548,0.399357452,0.001927063
161.538,0.00627641,0.392191215,0.002235863
169.231,0.006192376,0.384607861,0.002558404
176.923,0.006096177,0.376548546,0.00290084
184.615,0.005986086,0.367954732,0.003268888
192.308,0.005859998,0.358763626,0.003664956
200,0.005717326,0.348908897,0.004093081
207.692,0.005555723,0.33831872,0.004554442
215.385,0.005375747,0.326902794,0.005054994
223.077,0.005175124,0.314560801,0.005603116
230.769,0.004954788,0.301169583,0.006206996
238.462,0.004716627,0.286565533,0.006885139
246.154,0.004461427,0.270562341,0.007655511
253.846,0.004198303,0.252902409,0.008538455
261.538,0.003938986,0.233241788,0.009574652
269.231,0.003709932,0.211077877,0.0108158
276.923,0.003560261,0.185613842,0.012376108
284.615,0.003570302,0.15557613,0.014459502
292.308,0.005668901,0.114553181,0.017679763
300,0.008776444,0.066072168,0.021980716
