xup,zup,xlow,zlow
0,0,0,0
0.033269214,0.002576581,0.033269214,-0.002576581
0.066551689,0.004975786,0.066551689,-0.004975786
0.099846481,0.007197545,0.099846481,-0.007197545
0.133152642,0.009241795,0.133152642,-0.009241795
0.166469227,0.01110848,0.166469227,-0.01110848
0.199795289,0.012797544,0.199795289,-0.012797544
0.233129881,0.014308942,0.233129881,-0.014308942
0.266472056,0.015642629,0.266472056,-0.015642629
0.299820866,0.016798568,0.299820866,-0.016798568
0.333175365,0.017776725,0.333175365,-0.017776725
0.366534603,0.018577074,0.366534603,-0.018577074
0.399897634,0.019199591,0.399897634,-0.019199591
0.433263509,0.019644258,0.433263509,-0.019644258
0.466631281,0.019911064,0.466631281,-0.019911064
0.5,0.02,0.5,-0.02
0.533368719,0.019911064,0.533368719,-0.019911064
0.566736491,0.019644258,0.566736491,-0.019644258
0.600102366,0.019199591,0.600102366,-0.019199591
0.633465397,0.018577074,0.633465397,-0.018577074
0.666824635,0.017776725,0.666824635,-0.017776725
0.700179134,0.016798568,0.700179134,-0.016798568
0.733527944,0.015642629,0.733527944,-0.015642629
0.766870119,0.014308942,0.766870119,-0.014308942
0.800204711,0.012797544,0.800204711,-0.012797544
0.833530773,0.01110848,0.833530773,-0.01110848
0.866847358,0.009241795,0.866847358,-0.009241795
0.900153519,0.007197545,0.900153519,-0.007197545
0.933448311,0.004975786,0.933448311,-0.004975786
0.966730786,0.002576581,0.966730786,-0.002576581
1,0,1,0
